Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
1.351844999999972,1204,,,,,12.354894678863273,0.12532638731987283,0,0,1.4132043887871415,,
1.3742299999999814,1204,,,,,12.355107601417672,0.1260727905768988,0,0,1.430330679653713,,
1.396545000000042,1198,,,,-10.888076097438645,12.354875153408338,0.12419841422992968,0,0,1.405011227775945,,
1.4241049999999813,1198,,,,,12.35518803665799,0.12279811865019966,0,0,1.3828878917626304,,
1.4583850000000094,1204,,,,,12.355584051194805,0.12030024553155141,0,0,1.352150688847165,,
1.4795499999999302,1204,,,,,12.356093395684859,0.11848955225300467,0,0,1.3332979934786413,,
1.5023099999999394,1211,,,,,12.35636376250448,0.11831865871133876,0,0,1.329201109771384,,
1.5254949999999954,1211,,,,,12.355892873321764,0.1205397353428035,0,0,1.3605234486885158,,
1.5476750000000465,1211,,,,-10.31769610866515,12.354784516144791,0.1223540178108644,0,0,1.383875709240743,,
1.5783199999999489,1217,,,,,12.3532783642186,0.1255595296869203,34,0,1.4254274327466927,,
1.6014700000000885,1217,,,,,12.352761779759534,0.12843202213934068,2464,0,1.456021739953873,,
1.625109999999986,1217,,,,,12.35215072126283,0.13251717799742724,3231,0,1.5159755908450507,,
1.6511049999999814,1217,,,,,12.350485313817755,0.13689675094121292,3391,0,1.5708767105971144,,
1.6747399999999908,1223,,,,,12.349073872576216,0.14028914845881799,3467,0,1.6080859052480472,,
1.7026699999999255,1223,,,,-10.077842198455192,12.34800154584098,0.1436902554242557,3517,0,1.6494293642419438,,
1.7259599999999629,1223,,,,,12.34689396969875,0.14777857050606166,3556,0,1.703292489300249,,
1.752109999999986,1223,,,,,12.34576512778142,0.15046578063015512,3616,0,1.7382556891646874,,
1.775954999999958,1223,,,,,12.34470701087678,0.1547703150395089,3674,0,1.7933808215449831,,
1.7984849999999861,1223,,,,,12.344188596723782,0.15622174069271566,3722,0,1.8173879113854468,,
1.8276749999999302,1230,,,,,12.342980353894966,0.158139964216838,3767,0,1.8374726235848944,,
1.856030000000028,1230,,,,-10.246331660255311,12.342198276545542,0.16222784293602646,3809,0,1.8921418220291342,,
1.877469999999972,1230,,,,,12.3413165260422,0.1650834916729231,3853,0,1.9323012788419502,,
1.902185000000056,1230,,,,,12.339720679996677,0.1706694258321962,3894,0,1.9972278806086015,,
1.9288549999999813,1230,,,,,12.338164934928148,0.17245767410646104,3948,0,2.021560956258686,,
1.9585649999999442,1236,,,,,12.337045439975755,0.17784781984198217,4007,0,2.0823265969393483,,
1.9806999999999535,1236,,,,,12.336097912011624,0.18022997829403606,4052,0,2.110324832133019,,
2.011039999999921,1236,,,,-11.947499175172808,12.334790234095605,0.18531634774998054,4091,0,2.1581267792666754,,
2.0374949999999954,1242,,,,,12.333121803779399,0.19220178658542117,4151,0,2.2454412849533925,,
