Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
5642.987016462001,1154,,,,,12.589269976025445,0,0,0,0.11369832462842755,,,
5643.010226462001,1154,,,,,12.588932727525572,0,0,0,0.13180808803225202,,,
5643.038571462001,1173,,,,,12.587702926974078,0.021253787747732136,0,0,0.22536697515076198,,,
5643.060901462,1173,,,,1.7395286603280955,12.586748790750907,0.026267221819063324,0,0,0.2726234750407725,,,
5643.085951462001,1179,,,,,12.586137769574947,0.03018060637701154,0,0,0.32253961702850636,,,
5643.108251462,1179,,,,,12.585112111330085,0.0371124579319485,0,0,0.40867391342950105,,,
5643.135071462,1179,,,,,12.583582962927835,0.04511987934154768,0,0,0.5011200817903969,,,
5643.158276462001,1179,,,,,12.582470676463734,0.05111738876320122,0,0,0.5710370344836141,,,
5643.186231462,1179,,,,,12.581059176560077,0.05487203788967726,0,0,0.6169262908020842,,,
5643.212811462001,1179,,,,2.077709029375471,12.580836867540915,0.05858666911689078,0,0,0.6608595835738733,,,
5643.244231462,1186,,,,,12.580290125775559,0.061704721996094655,0,0,0.6958134832060086,,,
5643.267746462,1186,,,,,12.580045519798585,0.06198641404418047,0,0,0.6810335270235818,,,
5643.291116462001,1192,,,,,12.579956992002671,0.06052561632702279,0,0,0.6542060086817821,,,
5643.314146462,1192,,,,,12.579295966469864,0.06434845766064094,0,0,0.7048739852027842,,,
5643.338586462,1192,,,,,12.578475365127424,0.06848756181027336,0,0,0.764988460855256,,,
5643.367756462,1192,,,,-0.30856853498832687,12.577704804365165,0.07111016740257381,0,0,0.7938080982762666,,,
5643.391676462001,1192,,,,,12.57718797901603,0.07434368240180743,0,0,0.8206757217845868,,,
5643.416161462001,1192,,,,,12.577151230063164,0.0758479747763743,0,0,0.8263489602388494,,,
5643.438606462,1192,,,,,12.576888790020595,0.07662219181608583,0,0,0.8343032661898904,,,
5643.461336462001,1192,,,,,12.576853826385884,0.07694578688165005,0,0,0.8455666473300855,,,
5643.485556462,1192,,,,,12.576863926694719,0.07869292111539045,0,0,0.8679180124689143,,,
5643.508851462,1192,,,,-1.7855039872518579,12.576164307708972,0.07826027107060027,0,0,0.8608343733247292,,,
5643.5364514620005,1192,,,,,12.575727885421365,0.0766005301939692,0,0,0.8340805454982905,,,
5643.5668364620005,1192,,,,,12.575520921564726,0.07715723196786196,0,0,0.8551502680876293,,,
5643.589186462001,1192,,,,,12.575768557848813,0.07728383223507258,0,0,0.8595103514875185,,,
5643.612211462,1192,,,,,12.575529269595926,0.07651563838300075,0,0,0.836308078775692,,,
5643.635741462001,1192,,,,,12.575469209729144,0.07726291242646047,0,0,0.8583078089910697,,,
5643.659871462,1192,,,,-2.427729156657979,12.575276002158285,0.07562897956113906,0,0,0.8320819008049103,,,
5643.684261462001,1192,,,,,12.575334736100253,0.07485395552513337,0,0,0.8277550230329921,,,
5643.713661462,1192,,,,,12.5754374766859,0.07375253725460898,0,0,0.8152347617046741,,,
5643.736316462,1192,,,,,12.575657677008296,0.07136603278877743,0,0,0.7811184290710026,,,
5643.759816462001,1192,,,,,12.575665574828925,0.07061986304276005,0,0,0.7759304874254451,,,
5643.785181462001,1192,,,,,12.575982516302876,0.07301799135197129,0,0,0.8174151603121919,,,
5643.808006462002,1192,,,,-4.060118333116192,12.575699456329197,0.07579301883545886,0,0,0.8451079394798635,,,
5643.834501462002,1192,,,,,12.575698638062603,0.07355469406511822,0,0,0.8231765549178836,,,
5643.8577364620005,1192,,,,,12.575837646618004,0.07144120772757152,0,0,0.7857514978575432,,,
5643.889481462001,1192,,,,,12.575972813553498,0.07076262609566747,0,0,0.7850184264605145,,,
5643.910791462002,1192,,,,,12.575916767164413,0.07368241730605413,0,0,0.8178553150996593,,,
5643.935006462,1192,,,,,12.575714028060593,0.07388274045086426,0,0,0.8099640981566044,,,
5643.960286462001,1192,,,,-5.0667060020977415,12.575866575809522,0.07366890013704504,0,0,0.8177064701347594,,,
5643.986031462001,1198,,,,,12.576115268655984,0.07284296742226348,0,0,0.7914556070487024,,,
5644.008156462,1198,,,,,12.5758222437208,0.07183377292822647,0,0,0.7788046796941263,,,
5644.035241462001,1198,,,,,12.575798118993443,0.07418055354263338,0,0,0.8098026411844842,,,
5644.058031462001,1198,,,,,12.575674393365947,0.07409782226304566,0,0,0.8061748480516644,,,
5644.0897364620005,1198,,,,,12.575394933527573,0.07594460366063403,0,0,0.8237041739790243,,,
5644.115661462,1198,,,,-5.4832922724988835,12.574948857322378,0.07902289730796141,0,0,0.8670035781778442,,,
5644.139651462,1198,,,,,12.574923544612385,0.08059660875373945,0,0,0.8775480169242056,,,
5644.162446462001,1198,,,,,12.574384523873624,0.08307771200992811,0,0,0.9255292103998176,,,
5644.185881462001,1198,,,,,12.574311694431707,0.08362687409685571,0,0,0.9222725612982619,,,
5644.210006462001,1198,,,,,12.574308624015009,0.08510628237786141,0,0,0.9477822433873841,,,
5644.235596462,1198,,,,,12.573775567381343,0.08592315081848535,0,0,0.9653512357289025,,,
5644.257941462,1198,,,,-6.088164342571268,12.574068642788506,0.08636585489081917,0,0,0.9656028484437962,,,
5644.290241462,1198,,,,,12.573805644580302,0.08378650557106383,0,0,0.9467380845454023,,,
5644.314411462001,1198,,,,,12.57383320108664,0.08271390733068172,0,0,0.9326006982152173,,,
5644.336806462001,1198,,,,,12.573633215489492,0.08355767288882993,0,0,0.9337695719493226,,,
5644.3614814620005,1198,,,,,12.573605974832734,0.08566739996716609,0,0,0.9652534411522053,,,
5644.384691462001,1198,,,,,12.573538796942586,0.08416164259597099,0,0,0.9384436847065356,,,
5644.407146462,1198,,,,-5.532068942876971,12.573677991355977,0.08460153289194894,0,0,0.932298668767508,,,
5644.439046462,1198,,,,,12.573762491004452,0.08256269655317344,0,0,0.9125957324668289,,,
5644.4610964620015,1198,,,,,12.573582930331611,0.08455518893438871,0,0,0.9433790194631723,,,
5644.486691462001,1198,,,,,12.573405293582642,0.08378950597902858,0,0,0.9404474622609238,,,
5644.508581462001,1198,,,,,12.573320028346732,0.08273309901589382,0,0,0.9260635401098869,,,
